,n,kappa,data,test,rejects,time
0,200,0.01,VonMises,N-KSD,0.006666666666666667,159.73513746261597
0,200,0.01,VonMises,KSD,0.016666666666666666,1061.5201079845428
0,200,0.6755555555555556,VonMises,N-KSD,0.02666666666666667,174.3659176826477
0,200,0.6755555555555556,VonMises,KSD,0.035,1053.5207540988922
0,200,1.3411111111111111,VonMises,N-KSD,0.1,157.99437880516052
0,200,1.3411111111111111,VonMises,KSD,0.09666666666666666,1034.308676481247
0,200,2.0066666666666664,VonMises,N-KSD,0.25166666666666665,157.64613819122314
0,200,2.0066666666666664,VonMises,KSD,0.25166666666666665,1032.4268326759338
0,200,2.672222222222222,VonMises,N-KSD,0.4083333333333333,159.0569200515747
0,200,2.672222222222222,VonMises,KSD,0.4066666666666667,1035.5436599254608
0,200,3.3377777777777777,VonMises,N-KSD,0.57,158.7922546863556
0,200,3.3377777777777777,VonMises,KSD,0.5583333333333333,1034.3749103546143
0,200,4.003333333333333,VonMises,N-KSD,0.75,159.0189049243927
0,200,4.003333333333333,VonMises,KSD,0.7283333333333334,1031.5487027168274
0,200,4.668888888888889,VonMises,N-KSD,0.8583333333333333,158.0814826488495
0,200,4.668888888888889,VonMises,KSD,0.8366666666666667,1036.9393684864044
0,200,5.334444444444444,VonMises,N-KSD,0.93,162.3543999195099
0,200,5.334444444444444,VonMises,KSD,0.9233333333333333,1101.8137457370758
0,200,6.0,VonMises,N-KSD,0.9583333333333334,158.52338457107544
0,200,6.0,VonMises,KSD,0.95,1024.804571390152
