,n,data,test,rejects,time
0,30,Uniform,N-KSD,0.01,3.81947922706604
0,30,Uniform,KSD,0.01,5.4275007247924805
0,30,VonMises,N-KSD,0.78,3.1285746097564697
0,30,VonMises,KSD,0.77,5.524800062179565
0,50,Uniform,N-KSD,0.01,5.091256380081177
0,50,Uniform,KSD,0.01,12.791780710220337
0,50,VonMises,N-KSD,0.77,5.085011005401611
0,50,VonMises,KSD,0.77,13.143150329589844
0,100,Uniform,N-KSD,0.0,10.85354471206665
0,100,Uniform,KSD,0.01,45.908156394958496
0,100,VonMises,N-KSD,0.72,11.639883995056152
0,100,VonMises,KSD,0.77,45.54559850692749
0,200,Uniform,N-KSD,0.02,26.65104031562805
0,200,Uniform,KSD,0.0,177.61045861244202
0,200,VonMises,N-KSD,0.81,29.741779565811157
0,200,VonMises,KSD,0.75,178.4808747768402
