,n,kappa,data,test,rejects,time
0,30,0,Uniform,N-KSD,0.02,18.725574731826782
0,30,0,Uniform,KSD,0.006666666666666667,32.24905514717102
0,50,0,Uniform,N-KSD,0.018333333333333333,33.326744556427
0,50,0,Uniform,KSD,0.015,74.21426939964294
0,100,0,Uniform,N-KSD,0.006666666666666667,66.61777472496033
0,100,0,Uniform,KSD,0.008333333333333333,286.0309011936188
0,200,0,Uniform,N-KSD,0.018333333333333333,162.99793028831482
0,200,0,Uniform,KSD,0.011666666666666667,1118.1251175403595
